result_id,row,column,value,display,unit,n,source_path,source_pointer,source_sha256
P2-B-TAB-CONVERGENCE,n (models),code,50,50,models,50,../../../../results/sources/study1_baseline.json,/domains/code/n_models,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,n (models),math,50,50,models,50,../../../../results/sources/study1_baseline.json,/domains/math/n_models,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,k (items),code,157,157,items,50,../../../../results/sources/study1_baseline.json,/domains/code/n_items,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,k (items),math,1103,1103,items,50,../../../../results/sources/study1_baseline.json,/domains/math/n_items,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,raw Spearman rho,code,-0.45315726290516206,-0.4532,rho,50,../../../../results/sources/study1_baseline.json,/domains/code/raw_rho,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,raw Spearman rho,math,0.3289795918367347,0.3290,rho,50,../../../../results/sources/study1_baseline.json,/domains/math/raw_rho,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,partial rho controlling Z,code,-0.23178378117212897,-0.2318,rho,50,../../../../results/sources/study1_baseline.json,/domains/code/partial_rho_controlling_C,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,partial rho controlling Z,math,0.5230303822104814,0.5230,rho,50,../../../../results/sources/study1_baseline.json,/domains/math/partial_rho_controlling_C,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,bare 95% cluster CI,code,"[-0.6397646189396718, -0.20093685258168303]","[-0.6398, -0.2009]",rho interval,50,../../../../results/sources/study1_baseline.json,/domains/code/bare_cluster_ci,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,bare 95% cluster CI,math,"[-0.012238609948706885, 0.7283002695608267]","[-0.0122, 0.7283]",rho interval,50,../../../../results/sources/study1_baseline.json,/domains/math/bare_cluster_ci,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,bare CI excludes 0,code,True,yes,bool,50,../../../../results/sources/study1_baseline.json,/domains/code/bare_ci_excludes_zero,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,bare CI excludes 0,math,False,no,bool,50,../../../../results/sources/study1_baseline.json,/domains/math/bare_ci_excludes_zero,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,controlled 95% cluster CI,code,"[-0.49430173820309514, 0.07681755047976922]","[-0.4943, 0.0768]",rho interval,50,../../../../results/sources/study1_baseline.json,/domains/code/controlled_cluster_ci,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,controlled 95% cluster CI,math,"[0.2546901191890263, 0.7991213857918744]","[0.2547, 0.7991]",rho interval,50,../../../../results/sources/study1_baseline.json,/domains/math/controlled_cluster_ci,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,controlled CI excludes 0,code,False,no,bool,50,../../../../results/sources/study1_baseline.json,/domains/code/controlled_ci_excludes_zero,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,controlled CI excludes 0,math,True,yes,bool,50,../../../../results/sources/study1_baseline.json,/domains/math/controlled_ci_excludes_zero,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
P2-B-TAB-CONVERGENCE,permutation p,code,0.12368763123687632,0.1237,p-value,50,../../../../results/sources/study1_baseline.json,/domains/code/permutation_p,0e42cd73d669322b65adbdc8b9e3b1077c88aa1f458e775dd100d548e46cda84
