family_dropped,quantity,value,display,unit,n_remaining,source_path,source_pointer,source_sha256
Arcee,rho_raw,-0.6272587310590714,-0.6273,rho,42,../../../../results/sources/science_family_omission.json,/lofo/0/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Arcee,rho_partial_logparams,-0.6933240039076719,-0.6933,rho,42,../../../../results/sources/science_family_omission.json,/lofo/0/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
ByteDance,rho_raw,-0.6234521575984991,-0.6235,rho,40,../../../../results/sources/science_family_omission.json,/lofo/1/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
ByteDance,rho_partial_logparams,-0.6709979259057597,-0.6710,rho,40,../../../../results/sources/science_family_omission.json,/lofo/1/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
EleutherAI,rho_raw,-0.5670731707317074,-0.5671,rho,41,../../../../results/sources/science_family_omission.json,/lofo/2/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
EleutherAI,rho_partial_logparams,-0.6432705655395389,-0.6433,rho,41,../../../../results/sources/science_family_omission.json,/lofo/2/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
GLM,rho_raw,-0.602439024390244,-0.6024,rho,41,../../../../results/sources/science_family_omission.json,/lofo/3/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
GLM,rho_partial_logparams,-0.6766276878855857,-0.6766,rho,41,../../../../results/sources/science_family_omission.json,/lofo/3/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Gemma,rho_raw,-0.5647226173541963,-0.5647,rho,38,../../../../results/sources/science_family_omission.json,/lofo/4/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Gemma,rho_partial_logparams,-0.647343991487419,-0.6473,rho,38,../../../../results/sources/science_family_omission.json,/lofo/4/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Granite,rho_raw,-0.6034412955465588,-0.6034,rho,39,../../../../results/sources/science_family_omission.json,/lofo/5/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Granite,rho_partial_logparams,-0.677445122772589,-0.6774,rho,39,../../../../results/sources/science_family_omission.json,/lofo/5/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Llama,rho_raw,-0.6446000656526972,-0.6446,rho,38,../../../../results/sources/science_family_omission.json,/lofo/6/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Llama,rho_partial_logparams,-0.701119448122548,-0.7011,rho,38,../../../../results/sources/science_family_omission.json,/lofo/6/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Mistral,rho_raw,-0.5568480300187618,-0.5568,rho,40,../../../../results/sources/science_family_omission.json,/lofo/7/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Mistral,rho_partial_logparams,-0.6441693576531513,-0.6442,rho,40,../../../../results/sources/science_family_omission.json,/lofo/7/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
OLMo,rho_raw,-0.6354086880402671,-0.6354,rho,38,../../../../results/sources/science_family_omission.json,/lofo/8/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
OLMo,rho_partial_logparams,-0.6919893994725487,-0.6920,rho,38,../../../../results/sources/science_family_omission.json,/lofo/8/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Phi,rho_raw,-0.609594036139697,-0.6096,rho,42,../../../../results/sources/science_family_omission.json,/lofo/9/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Phi,rho_partial_logparams,-0.6872562152427245,-0.6873,rho,42,../../../../results/sources/science_family_omission.json,/lofo/9/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Qwen,rho_raw,-0.5566080977845683,-0.5566,rho,34,../../../../results/sources/science_family_omission.json,/lofo/10/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Qwen,rho_partial_logparams,-0.6427396228583167,-0.6427,rho,34,../../../../results/sources/science_family_omission.json,/lofo/10/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
SmolLM,rho_raw,-0.6104043432460903,-0.6104,rho,42,../../../../results/sources/science_family_omission.json,/lofo/11/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
SmolLM,rho_partial_logparams,-0.6893817051042668,-0.6894,rho,42,../../../../results/sources/science_family_omission.json,/lofo/11/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Yi,rho_raw,-0.6310104529616726,-0.6310,rho,41,../../../../results/sources/science_family_omission.json,/lofo/12/rho_raw,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
Yi,rho_partial_logparams,-0.678848962800284,-0.6788,rho,41,../../../../results/sources/science_family_omission.json,/lofo/12/rho_partial_logparams,fdd9d1a3e76257994de5dd49abb97847fe6bd3af7a9342624718f58ff33f7fed
