metric,relative_depth,value,n_models
median_r2_b,0.05,0.2477559882945313,28
median_r2_b,0.1,0.26579326026844013,29
median_r2_b,0.15,0.3026170381427592,29
median_r2_b,0.2,0.3355783551636342,29
median_r2_b,0.25,0.340479499112031,29
median_r2_b,0.3,0.3710598204036863,29
median_r2_b,0.35,0.37332216992212935,29
median_r2_b,0.4,0.40665430028207683,29
median_r2_b,0.45,0.41237127449796673,29
median_r2_b,0.5,0.38238871880971725,29
median_r2_b,0.55,0.41293955816928,29
median_r2_b,0.6,0.4153478983824682,29
median_r2_b,0.65,0.4030340046146808,29
median_r2_b,0.7,0.4174158823982903,29
median_r2_b,0.75,0.4266426525151469,29
median_r2_b,0.8,0.4154541255805001,29
median_r2_b,0.85,0.3957570489239577,29
median_r2_b,0.9,0.4149355572604763,29
median_r2_b,0.95,0.40938258645241377,29
median_r2_b,1.0,0.39065720318566166,29
rho_H2,0.05,0.9441707717569786,28
rho_H2,0.1,0.9349753694581281,29
rho_H2,0.15,0.9261083743842364,29
rho_H2,0.2,0.9187192118226601,29
rho_H2,0.25,0.90935960591133,29
rho_H2,0.3,0.9251231527093596,29
rho_H2,0.35,0.9428571428571428,29
rho_H2,0.4,0.9881773399014778,29
rho_H2,0.45,0.967487684729064,29
rho_H2,0.5,0.9822660098522168,29
rho_H2,0.55,0.9798029556650246,29
rho_H2,0.6,0.9768472906403941,29
rho_H2,0.65,0.9763546798029556,29
rho_H2,0.7,0.970935960591133,29
rho_H2,0.75,0.9482758620689655,29
rho_H2,0.8,0.9729064039408867,29
rho_H2,0.85,0.9714285714285714,29
rho_H2,0.9,0.9448275862068966,29
rho_H2,0.95,0.9748768472906404,29
rho_H2,1.0,0.9600985221674877,29
median_r2_eps,0.05,0.26060624981688385,28
median_r2_eps,0.1,0.3214903069616669,29
median_r2_eps,0.15,0.31014637838122455,29
median_r2_eps,0.2,0.3821395406421882,29
median_r2_eps,0.25,0.381084982672645,29
median_r2_eps,0.3,0.40862254212999494,29
median_r2_eps,0.35,0.4068855046123687,29
median_r2_eps,0.4,0.4134126714506323,29
median_r2_eps,0.45,0.3985650795211897,29
median_r2_eps,0.5,0.4240322131263021,29
median_r2_eps,0.55,0.4208557948469644,29
median_r2_eps,0.6,0.42242583177715937,29
median_r2_eps,0.65,0.43910183928219604,29
median_r2_eps,0.7,0.44289153281191224,29
median_r2_eps,0.75,0.4572027664584065,29
median_r2_eps,0.8,0.45247549866592707,29
median_r2_eps,0.85,0.45289851440917417,29
median_r2_eps,0.9,0.4440591663755824,29
median_r2_eps,0.95,0.45413617552521507,29
median_r2_eps,1.0,0.43991070538110677,29
